timepoint,sample,pH1,pH2,pH3
0.0,1,3.9733397567112534,3.9733485461017417,3.973415014979558
0.0,2,3.951238921397468,3.9506024761765905,3.950908863888161
0.0,3,3.9508749898223763,3.950865378106969,3.9506255386428277
0.0,4,3.9322529756745617,3.9320681293737434,3.9312977144781676
0.0,5,3.9857956325812163,3.984036676743643,3.98184905110116
0.0,6,3.9038677778713216,3.9039592574252913,3.9037575119773242
2.0,1,3.9613080910918415,3.9628602024227355,3.961803122275377
2.0,2,3.9570141719870517,3.9557773899457627,3.9553054065867226
2.0,3,3.958871503733768,3.958910531721787,3.959574910968766
2.0,4,3.9402474523699142,3.9405133045133773,3.9405280762646764
2.0,5,4.002184168143097,4.003676479838556,4.002401187038061
2.0,6,3.904822286246733,3.904398385102344,3.9042796897671215
4.5,1,3.9570129247533554,3.957806267225589,3.9583605363118775
4.5,2,3.952145447001602,3.9534295494109033,3.953897660174511
4.5,3,3.9566883324517885,3.9563124493898623,3.9574829270174745
4.5,4,3.9395053266783924,3.939741686351028,3.939104779097135
4.5,5,4.003733668045152,4.003768591353568,4.003615468085156
4.5,6,3.904982837253976,3.9055171241984805,3.9049308972048156
6.0,1,3.96330509043233,3.9644976583789724,3.9647722776128806
6.0,2,3.95849164076973,3.9588507560365054,3.958836386988785
6.0,3,3.9612510169209285,3.9612510169209285,3.9612510169209285
6.0,4,3.9395091754374723,3.9395091754374723,3.9395091754374723
6.0,5,4.011053766580389,4.011053766580389,4.011053766580389
6.0,6,3.909762824621255,3.909762824621255,3.909762824621255
24.0,1,3.911318697208318,3.9091181474243446,3.910219856244863
24.0,2,3.9060244755247906,3.906643358880569,3.906516650599713
24.0,3,3.900326559168797,3.9000519998178858,3.900410830342561
24.0,4,3.9094441517197756,3.909576839706494,3.9094780207851487
24.0,5,3.9072151120139393,3.9074977438881655,3.9075754885076392
24.0,6,3.904334203520807,3.9043277067086377,3.904375471771887
26.0,1,3.903200313260095,3.904166192053869,3.904476579144532
26.0,2,3.9023162676240295,3.9023162676240295,3.9023162676240295
26.0,3,3.894981877224693,3.894981877224693,3.894981877224693
26.0,4,3.9040168891238816,3.9040168891238816,3.9040168891238816
26.0,5,3.9082929052972553,3.9082929052972553,3.9082929052972553
26.0,6,3.903341589389464,3.903341589389464,3.903341589389464
48.0,1,3.904863962178307,3.9049083961588535,3.9059595268134
48.0,2,3.904411947651668,3.904411947651668,3.905112292763405
48.0,3,3.645493496959978,3.64428261779368,3.643742477009338
48.0,4,3.9076497861075556,3.9079668833885446,3.9081740778660254
48.0,5,3.716443098387938,3.716060447063993,3.7162281045286463
48.0,6,3.903430195734824,3.9042698005435166,3.9035715133864533
50.5,1,3.903157157570894,3.904249018879924,3.904463359926086
50.5,2,3.90333007970561,3.9043079952210213,3.90417357125069
50.5,3,3.6303928459087,3.6296446860688905,3.629603979371516
50.5,4,3.9067542706174674,3.9067542706174674,3.9069637420814822
50.5,5,3.6906047632479733,3.690108688047916,3.6895807738668474
50.5,6,3.903310685003348,3.902708207577105,3.903209145028205
54.0,1,3.9279852049200388,3.9279852049200388,3.9279852049200388
54.0,2,3.9282107575929484,3.9282107575929484,3.9282107575929484
54.0,3,3.609418591806606,3.609418591806606,3.609418591806606
54.0,4,3.926538471020726,3.926538471020726,3.926538471020726
54.0,5,3.674067052340264,3.674067052340264,3.674067052340264
54.0,6,3.9281659179735513,3.9281659179735513,3.9281659179735513
